Name,Address,City,Country,Phone Number,Fax Number,URL,Email,Contact Name,Contact Phone,Contact Email
Picco Engineering,"8611 Jane St., Ste. 200","Concord, ON L4K 2M6",Canada,(888) 772-0773,(905) 760-9699,Not Provided,Not Provided,Sarah Picco,(905) 760-9688,Not Provided
"M&G Impex (India) Pvt Ltd., Granite Processing Unit","Sy.Nos.13,14 & 21, Kamandoddi Post Krishnagiri Dist., Hosur-635109","Tamilnadu, 635109",India,Not Provided,Not Provided,Not Provided,Not Provided,"Praveen Tekriwal, Managing Dir.",91-9845119978,Not Provided
QFloors,889 W. Baxter Dr.,"South Jordan, UT 84095",United States,(801) 563-0140,(801) 566-2528,Not Provided,Not Provided,"Colten Gines, Dir.-Sales",(801) 563-0140 x4,Not Provided
Richter India Pvt. Ltd.,"M 61, M Block Market, 2nd Fl. Greater Kailash-2","New Delhi, 110048",India,919810010321,Not Provided,Not Provided,Not Provided,"Lokesh Arora, Mg. Dir.",919810010321,Not Provided
Bonstone Materials,707 Swan Dr.,"Mukwonago, WI 53149",United States,(800) 425-2214,(262) 363-9879,Not Provided,Not Provided,"Paul Klees, Sales Mgr.",(800) 425-2214,Not Provided
Alpha Professional Tools,"16 Park Dr., Ste. 9","Franklin, NJ 07416",United States,(800) 648-7229,(800) 286-0114; (201) 337-2216,Not Provided,Not Provided,"Mindy Wessel, Gen. Mgr.",(201) 337-3343,Not Provided
Creative Granite & Design,1998 N. Redwood Rd.,"Salt Lake City, UT 84116",United States,(801) 886-0204,(801) 886-0208,Not Provided,Not Provided,"Ricardo Pazos, Pres.",(801) 671-1222,Not Provided
Ghines Group S.r.l.,Via Marecchiese 338,"Rimini, 47923",Italy,39-0541-751080,Not Provided,Not Provided,Not Provided,Ghines,00390541751080,Not Provided
Dongshin Diamond Industrial Co.,"770 Daewon-ri, Jori-eup","Paju-si, 413-822",South Korea,82-31-943-7650,Not Provided,Not Provided,Not Provided,"Young Kim, Mgr.",(703) 401-0339,Not Provided
Milestone Imports,"1000 Cordova Pl., Ste. 31","Santa Fe, NM 87505",United States,(505) 989-1999,(505) 989-7121,Not Provided,Not Provided,Miles Chaffee,(505) 989-1999,Not Provided
Stone Depot,"Pope John Paul II Ave., Corner Golam Dr. Kasambagan","Cebu City, 6000",Philippines,63-32-272-4462,Not Provided,Not Provided,Not Provided,Miguel Aquino,63 32 272 4462,Not Provided
Cosentino Group,"355 Alhambra Cir., Ste. 1000","Coral Gables, FL 33134",United States,(786) 686-5060,Not Provided,Not Provided,Not Provided,Marc Bergeron,Not Provided,Not Provided
Lumberline Laser Inc.,"12119 N.E. 99th St., Ste. 2040","Vancouver, WA 98682",United States,(855) 686-3077,(360) 686-3033,Not Provided,Not Provided,"Hunter Clark, Pres.",(360) 686-3077,Not Provided
Pelican Int'l.,6140 Ulmerton Rd.,"Clearwater, FL 33760",United States,(727) 388-9895,(727) 362-1281,Not Provided,Not Provided,"Dave Somori, Dir.-Sales/Mktg.",(727) 228-2604,Not Provided
Visionmakers International LLC,1850 N. Higley Rd.,"Mesa, AZ 85205",United States,(480) 218-1500,Not Provided,Not Provided,Not Provided,"Lane Cook, Pres.",(480) 218-1500,Not Provided
"AKEMI GmbH, InnoChem LLC Member of the Akemi Group",6300 Button Gwinnett Dr.,"Atlanta, GA 30340",United States,(800) 316-3857,(770) 409-9096,Not Provided,Not Provided,Andrew Landis,(770) 409-8789,Not Provided
Domestic Marble & Stone Corp.,"264 W. 40th St., 9th Fl.","New York, NY 10018",United States,(212) 343-3300,(212) 343-3301,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided
BNSS Ltd.,19 Vtori Juni Blv.,"Vratsa, 3000",Bulgaria,359-882519827,Not Provided,Not Provided,Not Provided,Nikolai Bitunski,359882519827,Not Provided
Franken-Schotter GmbH & Co. KG,Hungerbachtal 1,"Treuchtlingen-Dietfurt, 91757",Germany,(49) 0-9142-802-0,(49) 0-9142-802-10,Not Provided,Not Provided,"Jonah Wurzer-Kinsler, Sales Mgr., N. America",(49) 160-361-6537,Not Provided
Stone Centre,7 Coates Pl.,"Wetherill Park, 2164",Australia,61290904862,Not Provided,Not Provided,Not Provided,Travis,61290904862,Not Provided
Microcranes Inc.,"10000 N.E. 7th Ave., Ste. 330-A","Vancouver, WA 98685",United States,(360) 768-5104,Not Provided,Not Provided,Not Provided,"Allan C., Sales",(360) 768-5104,Not Provided
PB Marble Services Co.,15216 Hartsook St.,"Sherman Oaks, CA 91403",United States,(818) 783-3588,Not Provided,Not Provided,Not Provided,"Pini Barak, Owner",(818) 783-3588,Not Provided
Fordham Marble Co. Inc.,421 Fairfield Ave.,"Stamford, CT 06902",United States,(203) 348-5088,(203) 348-4458,Not Provided,Not Provided,"Mario Sardo, Pres.",(203) 348-5088,Not Provided
Louis W. Mian Inc.,547 Rutherford Ave.,"Boston, MA 02129",United States,(617) 241-7900,(617) 241-5895,Not Provided,Not Provided,Jon Mian,(617) 241-7900 x123,Not Provided
Turkish Ceramics/OAIB,Ceyhun Atuf Kansu Cad. No. 120,"Balgat Cankaya/Ankara, 06520",Turkey,903124472740,903124469605,Not Provided,Not Provided,Turkish Ceramics,903124472740,Not Provided
Mextone Corp.,7168 S.W. 47th. St.,"Miami, FL 33155",United States,(305) 796-3953,Not Provided,Not Provided,Not Provided,Ricardo G Serrano,(305) 796-3953,Not Provided
"Lexus Stones, Exports","374/4, Immavu Village, Chikkayyana Chatra Hobli, Nanjangud,","Mysore, 571302",India,Not Provided,Not Provided,Not Provided,Not Provided,"Saurav Agrawal, CEO",919482125848,Not Provided
Pangaea® Natural Stone Inc.,"1313 E. Maple St., Unit 668","Bellingham, WA 98225",United States,(888) 801-3266,Not Provided,Not Provided,Not Provided,"Sanjay Nikhanj, Pres. & CEO",(888) 801-3266,Not Provided
Sparkle Gems Exotic,"406,Shyamak, Opp. Polytechnic, Ambawadi Ahmedabad","Ahmedabad, 380015",India,919825007282,Not Provided,Not Provided,Not Provided,"Seema Parimu Mehta, CEO",919825007282,Not Provided
"Consolidated Diamond Blade Div., Hoffman Diamond Co.",121 Cedar St.,"Punxsutawney, PA 15767",United States,(814) 938-7600,(814) 938-7625,Not Provided,Not Provided,"Brian Mattern, Sales",(800) 440-4180,Not Provided
Achilli S.r.l.,Via Montescudo 148,"Rimini, 47924",Italy,39-0541387066,39-0541389058; (980) 236-8658,Not Provided,Not Provided,"Paola Rota, Commercial Dir.",390541387066,Not Provided
WarmlyYours Radiant Heating,590 Telser Rd.,"Lake Zurich, IL 60047",United States,(800) 875-5285,(800) 408-1100,Not Provided,Not Provided,"Elodie Pasek, Dir.- Bus. Dev.",(800) 875-5285 x838,Not Provided
"Vickers Industrial Group, QUARTZ",16312 SW 43 Ter.,"Miami, FL 33185",United States,(786) 717-8874,Not Provided,Not Provided,Not Provided,David Mansur Jr.,(786) 717-8874,Not Provided
Trow & Holden Co. Inc.,45 S. Main St. P.O. Box 475,"Barre, VT 05641",United States,(802) 476-7221,(802) 476-7025,Not Provided,Not Provided,"Lauren LaMorte, V.P.",(802) 476-7221,Not Provided
BK Diamond Products Co.,"Renaissance Tower, Ste. 910 14 Mallijae Ro, Mapo-Gu","Seoul, 04195",South Korea,82-2-3272-5907,82-2-719-4632,Not Provided,Not Provided,"Charles Lee, Pres.",82-2-3272-5907,Not Provided
Uzin Utz North America Inc.,"14509 E. 33rd Pl., Unit G","Aurora, CO 80011",United States,(720) 374-4810,Not Provided,Not Provided,Not Provided,"Nick Derr, Technical Mgr. - UZIN Tile/Stone",(720) 365-6731,Not Provided
Florim USA,300 International Blvd.,"Clarksville, TN 37040",United States,(931) 401-6780,Not Provided,https://www.florimusa.com,info@florimusa.com,"Tamica Martin, Strategic Mktg. Mgr.",(931) 245-7703,tmartin@florimusa.com
"Metropolitan Ceramics, Div. of Ironrock Inc.",1201 Millerton St. S.E. P.O. Box 9240,"Canton, OH 44711-9240",United States,(330) 484-8453,(330) 484-3584,Not Provided,Not Provided,"Dianne K. Young, Sales/Natl. Accts. Dir.",(877) 358-1970,Not Provided
Divine Surfaces Private Ltd.,"Manjeera Majestic Commercial Rm. 607, KPHB JNTU Rd.","Hyderabad, 500072",India,919849983032,Not Provided,Not Provided,Not Provided,"Mudit Agarwal, Dir.",919849983032,Not Provided
Panel Processing Inc.,1030 Devere Dr.,"Alpena, MI 49707",United States,(989) 356-9007,(989) 356-9000,Not Provided,Not Provided,"Tim Witucki, Sr. Acct. Mgr.",(800) 433-7142,Not Provided
Leamar Industries Inc.,"171 Locke Dr., Ste. 114","Marlborough, MA 01752",United States,(508) 786-3088,(508) 786-0973,Not Provided,Not Provided,"Marcello Mallegni, Pres.",(508) 735-8079,Not Provided
A. Lacroix Granit,450 Principale,"St. Sebastien, QC G0Y 1M0",Canada,(819) 652-2828,(819) 652-2098,Not Provided,Not Provided,"Simon Lacroix, V.P.",(819) 652-2828 x227,Not Provided
BIHUI USA by Better Tools,4475 Infirmary Rd.,"Miamisburg, OH 45342",United States,(800) 798-6657,Not Provided,Not Provided,Not Provided,"Dan Brownfield, Mngng. Dir.",(800) 798-6557,Not Provided
Valentia Slate,Knightstown,"Valentia Island, V23 H685",Ireland,353-66-9476922,Not Provided,Not Provided,Not Provided,Ursula O' Shea,353669476922,Not Provided
SL-Laser Systems LLC,2406 Dunavant St.,"Charlotte, NC 28203",United States,(704) 561-9990,Not Provided,Not Provided,Not Provided,"Scott McDonald, Prod. Mgr.",(704) 996-8797,Not Provided
Tile Club,"2700 Mission College Blvd., Ste. 140, No. 246","Santa Clara, CA 95054",United States,(833) 845-3252,Not Provided,Not Provided,Not Provided,"Tina Tilerina, Pres.",(833) 845-3252,Not Provided
University of Ceramic Tile and Stone,P.O. Box 965,"Jamul, CA 91935",United States,(619) 669-2967,(619) 669-2968,Not Provided,Not Provided,"Donato Pompo, Founder",(866) 669-1550,Not Provided
Connecticut Stone Supplies Inc.,138 Woodmont Rd.,"Milford, CT 06460",United States,(203) 882-1000,Not Provided,Not Provided,Not Provided,"Tyra Dellacroce, V.P.-Sales/Mktg.",(203) 882-1000,Not Provided
Master Wholesale Inc.,520 S. Front,"Seattle, WA 98108",United States,(800) 938-7925,(206) 767-6772,Not Provided,Not Provided,"Krystina Gomez, Cust. Serv. Mgr.",(206) 767-6771,Not Provided
United Marble Fabricators,10 Munroe Ave.,"Watertown, MA 02472",United States,(617) 926-6226,(617) 926-6255,Not Provided,Not Provided,"John Kilfoyle, Pres.",(617) 926-6226,Not Provided
SKM Industries Inc.,1012 Underwood Rd. P.O. Box 278,"Olyphant, PA 18447",United States,(570) 383-3062 x123,(570) 383-9482,Not Provided,Not Provided,"ashley@skmproducts.com, Sales Support Mgr.",(570) 383-3062 x105,Not Provided
Pander Enterprise a brand of Christian Hoeller,Mariatrosterstrasse 111/6,"Graz, 8043",Austria,436644108932,Not Provided,Not Provided,Not Provided,"Christian Hoeller, Managing Dir.",436644108932,Not Provided
FILA Chemicals USA Corp.,"10800 N.W. 21st St., Ste. 170","Miami, FL 33172",United States,(305) 513-0708,Not Provided,Not Provided,Not Provided,"Jeff Moen, Dir.-Sales/Mktg. USA",(305) 513-0708,Not Provided
TexaStone Quarries,1400 Sherrod Rd. P.O. Box 38,"Garden City, TX 79739-0038",United States,(432) 348-7866,Not Provided,Not Provided,Not Provided,"Quade Weaver, Architectural Sales",(432) 348-7866,Not Provided
Laser Products Industries,1344 Enterprise Dr.,"Romeoville, IL 60446",United States,(877) 679-1300,(630) 679-1356,Not Provided,Not Provided,"JT Hoffmann, Sales Mgr.",(331) 444-9178,Not Provided
Diasonic Co. Ltd.,"1007 Techno Town, 1141-1 Beksok-dong, Ilsan-gu","Goyang-shi, Gyounggi-do 410-722,",South Korea,(82) 31-909-8282,(82) 2-6008-6185,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided
Vadara Quartz Surfaces,"4601 Spicewood Springs Rd., 1-100","Austin, TX 78759",United States,(844) 482-3272,Not Provided,Not Provided,Not Provided,"Lindsay Wiebrand, Mar Comm Mgr.",(866) 433-2229,Not Provided
Colorado Stone Quarries,1734 Hwy. 50E,"Delta, CO 81416",United States,(970) 874-6118,Not Provided,Not Provided,Not Provided,"Giuseppe Telara, Gen. Mgr.",(970) 874-6118,Not Provided
Belotti Tiles S.r.l.,Via Cherio 7,"Zandobbio, 24060",Italy,39-035-940060,39-035-942791,Not Provided,Not Provided,"Christian Hoeller, Gen. Mgr.",39035940060,Not Provided
"Diamond Tool Store, USA","1335 Old Okeechobee Rd., Ste. 100","West Palm Beach, FL 33401",United States,(561) 833-8992,(561) 833-9092,Not Provided,Not Provided,"Sally Thedwall, Dir.",(561) 833-8992,Not Provided
Water Treatment Solutions,6 Merrill Industrial Dr.,"Hampton, NH 03842",United States,(603) 758-1900,Not Provided,http://www.watertreatmentonline.com,info@watertreatmentonline.com,"Anderson Laflamme, Dir.-Sales - Stone",(603) 758-1900,anderson@watertreatmentonline.com
Executive Stone Trading,7402 Varna Ave.,"North Hollywood, CA 91605",United States,(818) 765-0900,(818) 765-0999,Not Provided,Not Provided,"Noah Tal, Pres.",(818) 765-0900,Not Provided
Marshalltown,104 S. 8th Ave.,"Marshalltown, IA 50158",United States,(800) 888-0127,(800) 477-6341,Not Provided,Not Provided,"Jeff Pinnick, Dir.-Sales",(800) 987-6935,Not Provided
Siloam Stone Inc.,315 N. 7th St.,"Canon City, CO 81212",United States,(719) 275-4275,(719) 275-9050,Not Provided,Not Provided,"Matthew Mueller, Gen. Mgr.",(719) 275-4275,Not Provided
KS International Inc.,P.O. Box 8835,"Greenville, SC 29604",United States,(864) 370-9744,Not Provided,Not Provided,Not Provided,"Nancy Hamilton, Pres.",Not Provided,Not Provided
Kindred Outdoors and Surrounds,"3817 Ocean Ranch Blvd., Ste. 114","Oceanside, CA 92056",United States,(800) 925-1491,Not Provided,Not Provided,Not Provided,"Sarah Lograsso, Dir.-Mktg. and Product Design",(760) 736-3232,Not Provided
Techniseal,300 ave Liberte,"Candiac, QC J5R 6X1",Canada,(800) 465-7325,(866) 933-3035,https://techniseal.com/pro_en_us/,lfortier@techniseal.com,"Felix Negrete, Reg'l. Sales Mgr.",(619) 417-9730,fnegrete@techniseal.com
"Pac Western Financial, Line of Credit and Working Capital Financing","222 S. Main St., 5th Fl.","Salt Lake City, UT 84101",United States,(603) 715-7777,Not Provided,Not Provided,Not Provided,"Tad Dube, CSO",(801) 769-6105,Not Provided
SGM Inc.,1502 S.W. 2nd Pl.,"Pompano Beach, FL 33069",United States,(954) 943-2288,(954) 943-2402,Not Provided,Not Provided,"Robert Pritchard, Gen. Sales Mgr.",(800) 641-9247,Not Provided
"OO International, Building Materials - Granite Stones",2-91/10 Whitefields,"Kondapur, Hyderabad, 500084",India,91-79010-01010,Not Provided,Not Provided,Not Provided,"Avinash Julakanti, Founder/CEO",917901001010,Not Provided
Zucchi Luxury Stones,"Rua Santo Antônio, 124 São Francisco","Serra - ES, 29175-217",Brazil,55-27-3243-9666,55-27-3243-9699,Not Provided,Not Provided,"Leonardo Pellegrino, Sales Dir.",5527988289809,Not Provided
Tatanka Stone Inc.,13525 A St.,"Omaha, NE 68144",United States,(402) 730-7411,Not Provided,Not Provided,Not Provided,"Justin Irwin, Owner",(402) 730-7411,Not Provided
"Ernst J. Sorg Natural Stones - Natursteine EJS, Einkauf - Verkauf",Zehn Morgen 16 P.O. 1246,"Bad Friedrichshall, 74177",Germany,0049-7136-20051,0049-7136-910398,Not Provided,Not Provided,"Ernst Josef Sorg, Kfm.-Ing.",0049-0713620051,Not Provided
Marmoelettromeccanica s.r.l.,"Via Flaminia km 41,400","Rignano Flaminio (RM), 00068",Italy,39-0761-5051,39-0761-508388,Not Provided,Not Provided,"Sanly Kyanian, Area Mgr.",393459116349,Not Provided
Jin Gwang Industries Co. Ltd. (ConfiAd),"11-13 Maejari-gil, Gwangju-si","Gyeonggi-do, 12798",South Korea,+82-31-767-8441,+82-31-767-8442,Not Provided,Not Provided,"Paul Kim (Kwangwon Kim), Dir.",82-31-767-8441,Not Provided
Diamond Productions Ltd.,"4810 Jean Talon W., No. 418","Montreal, QC H4P 2N5",Canada,(800) 342-2523,(800) 342-2524; (514) 731-5611,Not Provided,Not Provided,Adam Steinberg,(800) 342-2523 x236,Not Provided
Onyx France Inc.,10 S. Bradley Rd.,"Woodbridge, CT 06525",United States,(203) 389-8833,Not Provided,Not Provided,Not Provided,"Marjaun Donah, Mktg. Exec./Prod. Dev.",(203) 389-8833,Not Provided
ZipWall Dust Barrier System,37 Broadway,"Arlington, MA 02474",United States,(800) 718-2255,(781) 648-8806,Not Provided,Not Provided,"Doreen Bouvier, Cust. Serv. Mgr.",(800) 718-2255 x220,Not Provided
Schluter-Systems L.P.,194 Pleasant Ridge Rd.,"Plattsburgh, NY 12901-5841",United States,(800) 472-4588,(800) 477-9783; (877) 667-2410,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided
"Schechner Lifson Corp., Rocks Insurance Div.",4 Chatham Rd.,"Summit, NJ 07901",United States,(800) 475-0826,(908) 598-7880,Not Provided,Not Provided,"Marc Rosenkrantz, Pres.",(908) 598-7800,Not Provided
Yurtbay Seramik USA Inc.,"4220 Steve Reynolds Blvd., Ste.15","Norcross, GA 30093",United States,(470) 375-7570,(470) 375-7576,Not Provided,Not Provided,"Semih Susleyen, GM",(470) 375-7570,Not Provided
Jet Edge,12070 43rd St. N.E.,"St. Michael, MN 55376",United States,(763) 497-8700,(763) 497-8701,Not Provided,Not Provided,"Steve Murray, Mktg. Mgr.",(763) 497-8700,Not Provided
TAIMEI STONE CO. LTD.,"168 MOO9, TOMBON THA BUNMI, AMPHOE KOH CHAN","CHONBURI, 20240",Thailand,86- 13630157131,Not Provided,Not Provided,Not Provided,"Stella, sale mgr.",86-13630157131,Not Provided
TABQUARTZ,"N.H. 7 Nallaganakothapally Village Krishnagiri Rd., Koneripalli P.O., Hosur Taluk","Tamil Nadu, 635117",India,91-4344-257-150/400/405,Not Provided,Not Provided,Not Provided,Amit Gupta,Not Provided,Not Provided
Omni Cubed,3870 Dividend Dr.,"Shingle Springs, CA 95682",United States,(877) 311-1976,(530) 303-3416,Not Provided,Not Provided,"Merv Campbell, Gen. Mgr.",(916) 833-9302,Not Provided
Marmo Meccanica S.p.A.,Via S. Ubaldo 20,"Monsano (AN), 60030",Italy,39-0731-60999,39-0731-605244,Not Provided,Not Provided,"Steve Collick, U.S. Dealer",(248) 990-1824,Not Provided
SIKA USA Inc.,201 Polito Ave.,"Lyndhurst, NJ 07071",United States,(201) 933-8800,Not Provided,https://www.sika-usa.com,info@sika-usa.com,"Phillip Hall, Mktg. Comm. Mgr.",(213) 446-9100,phillip.hall@parexusa.com
Quattrolifts,1210 Kona Dr.,"Compton, CA 90220",United States,Not Provided,Not Provided,https://quattrolifts.com,Not Provided,"Chip Olson, Sales",(301) 748-7127,chip@quattrolifts.com
Natural Stone Institute,380 E. Lorain St.,"Oberlin, OH 44074-1252",United States,(440) 250-9222,(440) 774-9222,https://www.naturalstoneinstitute.org,info@naturalstoneinstitute.org,"Jim Hieb, CEO",(440) 250-9222,jim@naturalstoneinstitute.org
Natural Stone Council,P.O. Box 539,"Hollis, NH 03049",United States,(978) 796-5041,(978) 796-5041,https://www.naturalstonecouncil.org,dukepointer@naturalstonecouncil.org,"Duke Pointer, Exec. Dir.",(978) 796-5041,dukepointer@naturalstonecouncil.org
Dente Trading Co. Inc.,30 Canfield Rd.,"Cedar Grove, NJ 07009",United States,(973) 857-4050,(973) 857-4350,https://www.dentetrading.com,sales@dentetrading.com,"Pino Abbruzzesi, Sales Rep.",(973) 857-4050 x105,pinoa@dentetrading.com
Independent Limestone Co. LLC,P.O. Box 26,"Clear Creek, IN 47426-0026",United States,(812) 824-6588,(812) 824-7405,https://www.independentlimestone.com,info@ilc1927.com,"Brian Smith, Gen. Mgr.",(812) 824-6588 Office,info@ilc1927.com
Crystallyne Enterprises,P.O. Box 264,"Woonsocket, RI 02895",United States,(508) 553-9600,(508) 553-9610,https://www.quickquotecountertops.com,info@crystallyneonline.com,"Chris Abate, CEO",(508) 553-9600,cabate@crystallyne.com
Coverings 2024 - The Global Tile & Stone Experience,"2300 N. Clarendon Blvd., Ste. 305","Arlington, VA 22201",United States,(571) 313-5801,Not Provided,https://www.coverings.com,info@coverings.com,"Tim Fearney, Dir.-Sales",(571) 313-5791,tfearney@taffyevents.com
